"muestra","x","y"
13,65.8155400946,95.5883740582
13,65.6722651618,91.9334018119
13,39.002716451,92.26183816
13,37.7953028026,93.5324553607
13,35.5139005857,89.5991901138
13,39.2194529062,83.5434818364
13,31.5882013862,77.0280524208
13,32.6577782482,80.1138612983
13,31.6415992679,77.6108331874
13,30.9871426099,63.9440280336
13,27.4396322054,65.7444629564
13,30.5783699449,65.5219454667
13,28.809401637,59.6210044666
13,27.9395185786,50.9850621313
13,33.8499497887,46.2844744465
13,32.628463049,54.0637204929
13,32.4386500903,49.9030194916
13,35.8382920833,53.3514883396
13,37.1420429198,49.7419879519
13,34.6445467746,54.4441077764
13,35.675404696,49.6256433471
13,64.99458547,49.4621728312
13,66.1291498342,61.6437178853
13,65.790651882,55.9453737171
13,67.5017806138,60.8502274659
13,67.6295142176,61.4291060701
13,63.9100640599,62.9723349305
13,66.5493579687,67.7255886599
13,64.0515417112,48.8200939835
13,68.1932895833,46.5435408096
13,65.2783891952,44.8203529292
13,34.9976613883,28.6329939351
13,33.9237661692,53.5586885227
13,66.0044543688,52.6846691452
13,37.0232562464,32.1184816794
13,34.6982700852,36.4753541349
13,34.8634441715,30.9392745218
13,31.0900650789,32.3837547196
13,34.9213061465,35.4184380529
13,30.343361183,32.5245631742
13,35.4833288685,44.4916349303
13,33.2349104271,38.502483721
13,35.4399436182,47.7975176939
13,33.8735095227,37.056028453
13,28.5641377966,34.6263997171
13,31.3195486706,31.6639905316
13,30.796174379,23.5190343602
13,34.2333554347,22.4959116015
13,36.6307877065,31.4768312621
13,34.5486191018,26.1110878654
13,37.5196356,29.2676058936
13,62.4256973267,34.0442062707
13,64.320383794,31.7856294846
13,65.4455325117,43.2734991936
13,64.3256315887,41.6159763773
13,65.264338195,35.7175447772
13,66.388704175,38.8447443366
13,68.1914228192,45.1694864796
13,68.5406624515,48.4385263389
13,67.6614312657,51.0685845873
13,68.6755160534,50.465234811
13,69.0817099788,55.4740530987
13,69.048716493,66.3660457477
13,67.3082233775,71.5902965807
13,38.714899408,76.3969778172
13,35.5480948795,89.3049758407
13,36.7106729424,86.0749670003
13,64.9126624396,87.6457960566
13,66.0641357377,89.2086685815
13,64.9359294757,87.0721381174
13,67.0265507063,76.2225153324
13,65.3140322257,77.9387440331
13,64.2952177764,84.1258572133
13,38.7980121423,74.6106304299
13,34.6757573144,79.6375987743
13,30.7192619427,58.812060082
13,34.1051509268,64.1291972267
13,33.4233718511,67.0957433613
13,66.3138096741,98.9310270371
13,65.3096314498,98.1651568396
13,65.7140760682,99.2837639519
13,67.5934531877,90.9519098246
13,66.3880173202,89.2812304744
13,67.8061881135,91.6881773501
13,70.9626103129,86.5181213517
13,71.9936371714,78.8209480695
13,72.4798343312,80.8006830564
13,74.0784292286,72.9515308522
13,72.0362880189,69.7160484161
13,72.9981862717,59.6656447092
13,74.8121312339,57.5898837631
13,73.0273050243,46.2741878725
13,77.067111934,51.4869181896
13,75.0171368727,46.6224426489
13,76.6653077326,38.440250966
13,77.9158742329,45.9268433826
13,73.7420460836,39.1209853231
13,75.3298157891,32.8303519164
13,63.4104355141,38.377735614
13,68.856486669,43.084147214
13,66.3377850519,33.3065100022
13,64.2037185014,26.6441143003
13,64.4986348346,22.863501327
13,68.8909906096,27.2962056672
13,72.371523338,21.9616397473
13,69.7654249704,19.999850454
13,68.6213124429,18.9156764428
13,64.2977371716,20.4287496884
13,66.6992650902,18.5910853404
13,67.5445276811,16.4479381344
13,63.9469519836,18.6928454476
13,64.3881920705,15.7728122808
13,65.570045691,23.7657582226
13,38.4028368753,19.0468586722
13,37.8323600164,14.4694894463
13,36.9041611715,13.5838157511
13,36.286143052,17.1057707266
13,62.7866325947,13.9189931024
13,66.8176792234,11.4124971575
13,66.755021412,18.0853051378
13,65.4155283864,10.4635122068
13,36.9463314417,13.5143774996
13,37.8254347391,9.60103429534
13,36.722837943,9.33330210686
13,67.0733217806,6.04921458162
13,64.601818107,12.0019169643
13,65.4372821806,15.5453860785
13,67.0040223792,15.3458266393
13,66.7241920702,5.24980548075
13,68.3076187632,13.2809165227
13,68.7680482759,13.5214565521
13,74.1672717461,5.34988087254
13,64.9003579699,16.2452583689
13,68.7634335463,8.70057294385
13,66.8169139163,12.2732943361
13,67.3093466467,0.217006270014
13,34.7318293093,19.6017950724
13,33.6744421497,26.09049021
13,75.6272550236,37.128751949
13,40.6101254225,89.1362398699
13,39.1143664549,96.4817513202
13,34.5838289299,89.5889019877
